ndc,drug_name,category,avg_daily_rx_fills,pack_sizes,unit_cost_usd,shelf_life_days
57237-0681-01,Rivaroxaban 20mg,other,4,30|90,1.73,365
57237-0691-01,Apixaban 5mg,other,4,60,2.46,730
57237-0701-01,Spironolactone 25mg,other,4,30|90,4.14,730
57237-0711-01,Clindamycin 300mg,other,3,21|28,1.51,365
57237-0721-01,Nitrofurantoin 100mg,other,3,7|14,0.57,548
57237-0731-01,Ciprofloxacin 500mg,other,3,10|14,3.96,548
57237-0741-01,Metronidazole 500mg,other,3,14|21,1.14,365
57237-0751-01,Valacyclovir 500mg,other,3,7|30,3.96,365
57237-0761-01,Acyclovir 400mg,other,3,7|30,0.46,548
57237-0771-01,Fluconazole 150mg,other,2,1,3.69,730
57237-0781-01,Nystatin Oral Susp,other,2,1,3.46,365
57237-0791-01,Latanoprost 0.005%,other,3,1,3.0,730
57237-0801-01,Timolol 0.5% Eye,other,2,1,0.81,730
57237-0811-01,Metoclopramide 10mg,other,3,30,3.94,548
57237-0821-01,Dicyclomine 20mg,other,4,30|60,4.34,730
57237-0831-01,Famotidine 40mg,other,5,30|90,3.42,730
57237-0841-01,Lactulose Solution,other,2,1,0.97,548
57237-0851-01,Polyethylene Glycol 3350,other,4,1,1.84,730
57237-0861-01,Testosterone Cypionate,other,2,1,2.95,548
57237-0871-01,Progesterone 200mg,other,3,30,4.06,548
57237-0881-01,Estradiol 1mg,other,4,30|90,0.61,365
57237-0891-01,Norethindrone/EE,other,5,28,0.36,365
