ds,ndc,drug_name,category,y,source,population,weight,yhat
2025-01-27,57237001101,Lisinopril 10mg,chronic,94.0,synthetic,5000,0.5,100.7
2025-02-03,57237001101,Lisinopril 10mg,chronic,97.0,synthetic,5000,0.5,57.0
2025-02-10,57237001101,Lisinopril 10mg,chronic,126.0,synthetic,5000,0.5,108.1
2025-02-17,57237001101,Lisinopril 10mg,chronic,113.0,synthetic,5000,0.5,84.1
2025-02-24,57237001101,Lisinopril 10mg,chronic,134.0,synthetic,5000,0.5,71.8
2025-03-03,57237001101,Lisinopril 10mg,chronic,101.0,synthetic,5000,0.5,109.4
2025-03-10,57237001101,Lisinopril 10mg,chronic,100.0,synthetic,5000,0.5,72.4
2025-03-17,57237001101,Lisinopril 10mg,chronic,113.0,synthetic,5000,0.5,89.6
2025-03-24,57237001101,Lisinopril 10mg,chronic,97.0,synthetic,5000,0.5,85.3
2025-03-31,57237001101,Lisinopril 10mg,chronic,114.0,synthetic,5000,0.5,83.6
2025-04-07,57237001101,Lisinopril 10mg,chronic,122.0,synthetic,5000,0.5,90.3
2025-04-14,57237001101,Lisinopril 10mg,chronic,116.0,synthetic,5000,0.5,86.5
2025-04-21,57237001101,Lisinopril 10mg,chronic,107.0,synthetic,5000,0.5,93.2
2025-04-28,57237001101,Lisinopril 10mg,chronic,120.0,synthetic,5000,0.5,76.4
2025-05-05,57237001101,Lisinopril 10mg,chronic,105.0,synthetic,5000,0.5,87.4
2025-05-12,57237001101,Lisinopril 10mg,chronic,136.0,synthetic,5000,0.5,82.3
2025-05-19,57237001101,Lisinopril 10mg,chronic,102.0,synthetic,5000,0.5,83.4
2025-05-26,57237001101,Lisinopril 10mg,chronic,110.0,synthetic,5000,0.5,80.8
2025-06-02,57237001101,Lisinopril 10mg,chronic,118.0,synthetic,5000,0.5,81.9
2025-06-09,57237001101,Lisinopril 10mg,chronic,120.0,synthetic,5000,0.5,74.9
2025-06-16,57237001101,Lisinopril 10mg,chronic,107.0,synthetic,5000,0.5,74.0
2025-06-23,57237001101,Lisinopril 10mg,chronic,117.0,synthetic,5000,0.5,66.9
2025-06-30,57237001101,Lisinopril 10mg,chronic,115.0,synthetic,5000,0.5,76.6
2025-01-06,57237001201,Lisinopril 20mg,chronic,69.0,synthetic,5000,0.5,81.5
2025-01-13,57237001201,Lisinopril 20mg,chronic,76.0,synthetic,5000,0.5,63.0
2025-01-20,57237001201,Lisinopril 20mg,chronic,75.0,synthetic,5000,0.5,76.1
2025-01-27,57237001201,Lisinopril 20mg,chronic,67.0,synthetic,5000,0.5,69.5
2025-02-03,57237001201,Lisinopril 20mg,chronic,80.0,synthetic,5000,0.5,68.4
2025-02-10,57237001201,Lisinopril 20mg,chronic,79.0,synthetic,5000,0.5,62.7
2025-02-17,57237001201,Lisinopril 20mg,chronic,60.0,synthetic,5000,0.5,64.1
2025-02-24,57237001201,Lisinopril 20mg,chronic,75.0,synthetic,5000,0.5,75.7
2025-03-03,57237001201,Lisinopril 20mg,chronic,65.0,synthetic,5000,0.5,70.3
2025-03-10,57237001201,Lisinopril 20mg,chronic,67.0,synthetic,5000,0.5,65.3
2025-03-17,57237001201,Lisinopril 20mg,chronic,69.0,synthetic,5000,0.5,62.0
2025-03-24,57237001201,Lisinopril 20mg,chronic,54.0,synthetic,5000,0.5,70.4
2025-03-31,57237001201,Lisinopril 20mg,chronic,69.0,synthetic,5000,0.5,68.3
2025-04-07,57237001201,Lisinopril 20mg,chronic,63.0,synthetic,5000,0.5,68.3
2025-04-14,57237001201,Lisinopril 20mg,chronic,81.0,synthetic,5000,0.5,69.4
2025-04-21,57237001201,Lisinopril 20mg,chronic,67.0,synthetic,5000,0.5,67.8
2025-04-28,57237001201,Lisinopril 20mg,chronic,80.0,synthetic,5000,0.5,69.1
2025-05-05,57237001201,Lisinopril 20mg,chronic,61.0,synthetic,5000,0.5,67.9
2025-05-12,57237001201,Lisinopril 20mg,chronic,89.0,synthetic,5000,0.5,70.3
2025-05-19,57237001201,Lisinopril 20mg,chronic,70.0,synthetic,5000,0.5,71.1
2025-05-26,57237001201,Lisinopril 20mg,chronic,61.0,synthetic,5000,0.5,65.2
2025-06-02,57237001201,Lisinopril 20mg,chronic,86.0,synthetic,5000,0.5,72.2
2025-06-09,57237001201,Lisinopril 20mg,chronic,61.0,synthetic,5000,0.5,67.9
2025-06-16,57237001201,Lisinopril 20mg,chronic,77.0,synthetic,5000,0.5,68.4
2025-06-23,57237001201,Lisinopril 20mg,chronic,86.0,synthetic,5000,0.5,67.7
2025-06-30,57237001201,Lisinopril 20mg,chronic,81.0,synthetic,5000,0.5,65.2
2025-01-06,57237002101,Atorvastatin 20mg,chronic,99.0,synthetic,5000,0.5,116.9
2025-01-13,57237002101,Atorvastatin 20mg,chronic,100.0,synthetic,5000,0.5,2.6
2025-01-20,57237002101,Atorvastatin 20mg,chronic,94.0,synthetic,5000,0.5,117.1
2025-01-27,57237002101,Atorvastatin 20mg,chronic,98.0,synthetic,5000,0.5,86.5
2025-02-03,57237002101,Atorvastatin 20mg,chronic,94.0,synthetic,5000,0.5,23.9
2025-02-10,57237002101,Atorvastatin 20mg,chronic,81.0,synthetic,5000,0.5,95.1
2025-02-17,57237002101,Atorvastatin 20mg,chronic,109.0,synthetic,5000,0.5,77.7
2025-02-24,57237002101,Atorvastatin 20mg,chronic,100.0,synthetic,5000,0.5,47.4
2025-03-03,57237002101,Atorvastatin 20mg,chronic,104.0,synthetic,5000,0.5,97.4
2025-03-10,57237002101,Atorvastatin 20mg,chronic,106.0,synthetic,5000,0.5,65.4
2025-03-17,57237002101,Atorvastatin 20mg,chronic,100.0,synthetic,5000,0.5,56.8
2025-03-24,57237002101,Atorvastatin 20mg,chronic,91.0,synthetic,5000,0.5,81.7
2025-03-31,57237002101,Atorvastatin 20mg,chronic,106.0,synthetic,5000,0.5,51.6
2025-04-07,57237002101,Atorvastatin 20mg,chronic,91.0,synthetic,5000,0.5,70.9
2025-04-14,57237002101,Atorvastatin 20mg,chronic,116.0,synthetic,5000,0.5,79.2
2025-04-21,57237002101,Atorvastatin 20mg,chronic,88.0,synthetic,5000,0.5,63.3
2025-04-28,57237002101,Atorvastatin 20mg,chronic,93.0,synthetic,5000,0.5,76.1
2025-05-05,57237002101,Atorvastatin 20mg,chronic,97.0,synthetic,5000,0.5,74.8
2025-05-12,57237002101,Atorvastatin 20mg,chronic,110.0,synthetic,5000,0.5,69.7
2025-05-19,57237002101,Atorvastatin 20mg,chronic,102.0,synthetic,5000,0.5,74.3
2025-05-26,57237002101,Atorvastatin 20mg,chronic,104.0,synthetic,5000,0.5,71.6
2025-06-02,57237002101,Atorvastatin 20mg,chronic,106.0,synthetic,5000,0.5,79.2
2025-06-09,57237002101,Atorvastatin 20mg,chronic,96.0,synthetic,5000,0.5,72.7
2025-06-16,57237002101,Atorvastatin 20mg,chronic,116.0,synthetic,5000,0.5,71.6
2025-06-23,57237002101,Atorvastatin 20mg,chronic,122.0,synthetic,5000,0.5,75.7
2025-06-30,57237002101,Atorvastatin 20mg,chronic,103.0,synthetic,5000,0.5,72.7
2025-01-06,57237002201,Atorvastatin 40mg,chronic,66.0,synthetic,5000,0.5,96.1
2025-01-13,57237002201,Atorvastatin 40mg,chronic,89.0,synthetic,5000,0.5,72.6
2025-01-20,57237002201,Atorvastatin 40mg,chronic,65.0,synthetic,5000,0.5,95.8
2025-01-27,57237002201,Atorvastatin 40mg,chronic,83.0,synthetic,5000,0.5,88.3
2025-02-03,57237002201,Atorvastatin 40mg,chronic,90.0,synthetic,5000,0.5,82.5
2025-02-10,57237002201,Atorvastatin 40mg,chronic,80.0,synthetic,5000,0.5,88.2
2025-02-17,57237002201,Atorvastatin 40mg,chronic,67.0,synthetic,5000,0.5,82.3
2025-02-24,57237002201,Atorvastatin 40mg,chronic,102.0,synthetic,5000,0.5,80.0
2025-03-03,57237002201,Atorvastatin 40mg,chronic,93.0,synthetic,5000,0.5,87.1
2025-03-10,57237002201,Atorvastatin 40mg,chronic,97.0,synthetic,5000,0.5,68.4
2025-03-17,57237002201,Atorvastatin 40mg,chronic,74.0,synthetic,5000,0.5,77.9
2025-03-24,57237002201,Atorvastatin 40mg,chronic,90.0,synthetic,5000,0.5,63.8
2025-03-31,57237002201,Atorvastatin 40mg,chronic,95.0,synthetic,5000,0.5,69.5
2025-04-07,57237002201,Atorvastatin 40mg,chronic,73.0,synthetic,5000,0.5,85.5
2025-04-14,57237002201,Atorvastatin 40mg,chronic,84.0,synthetic,5000,0.5,77.8
2025-04-21,57237002201,Atorvastatin 40mg,chronic,87.0,synthetic,5000,0.5,79.8
2025-04-28,57237002201,Atorvastatin 40mg,chronic,96.0,synthetic,5000,0.5,81.2
2025-05-05,57237002201,Atorvastatin 40mg,chronic,80.0,synthetic,5000,0.5,86.2
2025-05-12,57237002201,Atorvastatin 40mg,chronic,83.0,synthetic,5000,0.5,75.3
2025-05-19,57237002201,Atorvastatin 40mg,chronic,92.0,synthetic,5000,0.5,87.2
2025-05-26,57237002201,Atorvastatin 40mg,chronic,65.0,synthetic,5000,0.5,78.7
2025-06-02,57237002201,Atorvastatin 40mg,chronic,86.0,synthetic,5000,0.5,78.0
2025-06-09,57237002201,Atorvastatin 40mg,chronic,81.0,synthetic,5000,0.5,75.7
2025-06-16,57237002201,Atorvastatin 40mg,chronic,84.0,synthetic,5000,0.5,73.8
2025-06-23,57237002201,Atorvastatin 40mg,chronic,73.0,synthetic,5000,0.5,81.2
2025-06-30,57237002201,Atorvastatin 40mg,chronic,76.0,synthetic,5000,0.5,71.7
2025-01-06,57237003101,Amlodipine 5mg,chronic,87.0,synthetic,5000,0.5,101.8
2025-01-13,57237003101,Amlodipine 5mg,chronic,102.0,synthetic,5000,0.5,20.2
2025-01-20,57237003101,Amlodipine 5mg,chronic,91.0,synthetic,5000,0.5,94.1
2025-01-27,57237003101,Amlodipine 5mg,chronic,116.0,synthetic,5000,0.5,93.2
2025-02-03,57237003101,Amlodipine 5mg,chronic,99.0,synthetic,5000,0.5,55.3
2025-02-10,57237003101,Amlodipine 5mg,chronic,95.0,synthetic,5000,0.5,96.4
2025-02-17,57237003101,Amlodipine 5mg,chronic,102.0,synthetic,5000,0.5,75.6
2025-02-24,57237003101,Amlodipine 5mg,chronic,89.0,synthetic,5000,0.5,56.5
2025-03-03,57237003101,Amlodipine 5mg,chronic,116.0,synthetic,5000,0.5,94.9
2025-03-10,57237003101,Amlodipine 5mg,chronic,102.0,synthetic,5000,0.5,69.1
2025-03-17,57237003101,Amlodipine 5mg,chronic,109.0,synthetic,5000,0.5,73.5
2025-03-24,57237003101,Amlodipine 5mg,chronic,100.0,synthetic,5000,0.5,76.6
2025-03-31,57237003101,Amlodipine 5mg,chronic,115.0,synthetic,5000,0.5,61.5
2025-04-07,57237003101,Amlodipine 5mg,chronic,78.0,synthetic,5000,0.5,73.1
2025-04-14,57237003101,Amlodipine 5mg,chronic,106.0,synthetic,5000,0.5,81.0
2025-04-21,57237003101,Amlodipine 5mg,chronic,96.0,synthetic,5000,0.5,77.7
2025-04-28,57237003101,Amlodipine 5mg,chronic,119.0,synthetic,5000,0.5,75.8
2025-05-05,57237003101,Amlodipine 5mg,chronic,83.0,synthetic,5000,0.5,88.7
2025-05-12,57237003101,Amlodipine 5mg,chronic,100.0,synthetic,5000,0.5,73.9
2025-05-19,57237003101,Amlodipine 5mg,chronic,93.0,synthetic,5000,0.5,74.9
2025-05-26,57237003101,Amlodipine 5mg,chronic,107.0,synthetic,5000,0.5,78.2
2025-06-02,57237003101,Amlodipine 5mg,chronic,96.0,synthetic,5000,0.5,71.3
2025-06-09,57237003101,Amlodipine 5mg,chronic,94.0,synthetic,5000,0.5,76.6
2025-06-16,57237003101,Amlodipine 5mg,chronic,99.0,synthetic,5000,0.5,73.8
2025-06-23,57237003101,Amlodipine 5mg,chronic,84.0,synthetic,5000,0.5,76.0
2025-06-30,57237003101,Amlodipine 5mg,chronic,89.0,synthetic,5000,0.5,75.4
2025-01-06,57237003201,Amlodipine 10mg,chronic,60.0,synthetic,5000,0.5,70.2
2025-01-13,57237003201,Amlodipine 10mg,chronic,61.0,synthetic,5000,0.5,60.7
2025-01-20,57237003201,Amlodipine 10mg,chronic,59.0,synthetic,5000,0.5,67.1
2025-01-27,57237003201,Amlodipine 10mg,chronic,56.0,synthetic,5000,0.5,61.9
2025-02-03,57237003201,Amlodipine 10mg,chronic,68.0,synthetic,5000,0.5,66.8
2025-02-10,57237003201,Amlodipine 10mg,chronic,56.0,synthetic,5000,0.5,69.3
2025-02-17,57237003201,Amlodipine 10mg,chronic,54.0,synthetic,5000,0.5,64.4
2025-02-24,57237003201,Amlodipine 10mg,chronic,55.0,synthetic,5000,0.5,61.4
2025-03-03,57237003201,Amlodipine 10mg,chronic,61.0,synthetic,5000,0.5,65.0
2025-03-10,57237003201,Amlodipine 10mg,chronic,62.0,synthetic,5000,0.5,57.2
2025-03-17,57237003201,Amlodipine 10mg,chronic,61.0,synthetic,5000,0.5,64.1
2025-03-24,57237003201,Amlodipine 10mg,chronic,66.0,synthetic,5000,0.5,62.5
2025-03-31,57237003201,Amlodipine 10mg,chronic,64.0,synthetic,5000,0.5,62.1
2025-04-07,57237003201,Amlodipine 10mg,chronic,56.0,synthetic,5000,0.5,67.2
2025-04-14,57237003201,Amlodipine 10mg,chronic,72.0,synthetic,5000,0.5,62.8
2025-04-21,57237003201,Amlodipine 10mg,chronic,51.0,synthetic,5000,0.5,69.5
2025-04-28,57237003201,Amlodipine 10mg,chronic,75.0,synthetic,5000,0.5,61.3
2025-05-05,57237003201,Amlodipine 10mg,chronic,60.0,synthetic,5000,0.5,66.8
2025-05-12,57237003201,Amlodipine 10mg,chronic,65.0,synthetic,5000,0.5,63.2
2025-05-19,57237003201,Amlodipine 10mg,chronic,59.0,synthetic,5000,0.5,65.8
2025-05-26,57237003201,Amlodipine 10mg,chronic,55.0,synthetic,5000,0.5,68.0
2025-06-02,57237003201,Amlodipine 10mg,chronic,45.0,synthetic,5000,0.5,65.6
2025-06-09,57237003201,Amlodipine 10mg,chronic,58.0,synthetic,5000,0.5,64.2
2025-06-16,57237003201,Amlodipine 10mg,chronic,60.0,synthetic,5000,0.5,63.3
2025-06-23,57237003201,Amlodipine 10mg,chronic,67.0,synthetic,5000,0.5,63.1
2025-06-30,57237003201,Amlodipine 10mg,chronic,76.0,synthetic,5000,0.5,64.5
2025-01-06,57237004101,Omeprazole 20mg,chronic,102.0,synthetic,5000,0.5,135.2
2025-01-13,57237004101,Omeprazole 20mg,chronic,138.0,synthetic,5000,0.5,90.2
2025-01-20,57237004101,Omeprazole 20mg,chronic,112.0,synthetic,5000,0.5,112.2
2025-01-27,57237004101,Omeprazole 20mg,chronic,122.0,synthetic,5000,0.5,114.6
2025-02-03,57237004101,Omeprazole 20mg,chronic,108.0,synthetic,5000,0.5,126.7
2025-02-10,57237004101,Omeprazole 20mg,chronic,114.0,synthetic,5000,0.5,118.3
2025-02-17,57237004101,Omeprazole 20mg,chronic,109.0,synthetic,5000,0.5,109.8
2025-02-24,57237004101,Omeprazole 20mg,chronic,124.0,synthetic,5000,0.5,119.9
2025-03-03,57237004101,Omeprazole 20mg,chronic,116.0,synthetic,5000,0.5,120.5
2025-03-10,57237004101,Omeprazole 20mg,chronic,146.0,synthetic,5000,0.5,115.7
2025-03-17,57237004101,Omeprazole 20mg,chronic,130.0,synthetic,5000,0.5,111.4
2025-03-24,57237004101,Omeprazole 20mg,chronic,113.0,synthetic,5000,0.5,122.0
2025-03-31,57237004101,Omeprazole 20mg,chronic,127.0,synthetic,5000,0.5,114.3
2025-04-07,57237004101,Omeprazole 20mg,chronic,101.0,synthetic,5000,0.5,122.9
2025-04-14,57237004101,Omeprazole 20mg,chronic,139.0,synthetic,5000,0.5,119.4
2025-04-21,57237004101,Omeprazole 20mg,chronic,107.0,synthetic,5000,0.5,119.5
2025-04-28,57237004101,Omeprazole 20mg,chronic,130.0,synthetic,5000,0.5,120.7
2025-05-05,57237004101,Omeprazole 20mg,chronic,116.0,synthetic,5000,0.5,120.8
2025-05-12,57237004101,Omeprazole 20mg,chronic,107.0,synthetic,5000,0.5,117.3
2025-05-19,57237004101,Omeprazole 20mg,chronic,127.0,synthetic,5000,0.5,121.6
2025-05-26,57237004101,Omeprazole 20mg,chronic,110.0,synthetic,5000,0.5,121.4
2025-06-02,57237004101,Omeprazole 20mg,chronic,144.0,synthetic,5000,0.5,123.1
2025-06-09,57237004101,Omeprazole 20mg,chronic,126.0,synthetic,5000,0.5,119.8
2025-06-16,57237004101,Omeprazole 20mg,chronic,118.0,synthetic,5000,0.5,113.6
2025-06-23,57237004101,Omeprazole 20mg,chronic,89.0,synthetic,5000,0.5,115.2
2025-06-30,57237004101,Omeprazole 20mg,chronic,143.0,synthetic,5000,0.5,122.7
2025-01-06,57237004201,Omeprazole 40mg,chronic,64.0,synthetic,5000,0.5,81.3
2025-01-13,57237004201,Omeprazole 40mg,chronic,71.0,synthetic,5000,0.5,61.3
2025-01-20,57237004201,Omeprazole 40mg,chronic,58.0,synthetic,5000,0.5,78.4
2025-01-27,57237004201,Omeprazole 40mg,chronic,81.0,synthetic,5000,0.5,66.4
2025-02-03,57237004201,Omeprazole 40mg,chronic,68.0,synthetic,5000,0.5,63.8
2025-02-10,57237004201,Omeprazole 40mg,chronic,58.0,synthetic,5000,0.5,69.2
2025-02-17,57237004201,Omeprazole 40mg,chronic,73.0,synthetic,5000,0.5,68.6
2025-02-24,57237004201,Omeprazole 40mg,chronic,64.0,synthetic,5000,0.5,68.4
2025-03-03,57237004201,Omeprazole 40mg,chronic,60.0,synthetic,5000,0.5,65.7
2025-03-10,57237004201,Omeprazole 40mg,chronic,72.0,synthetic,5000,0.5,62.5
2025-03-17,57237004201,Omeprazole 40mg,chronic,66.0,synthetic,5000,0.5,68.4
2025-03-24,57237004201,Omeprazole 40mg,chronic,64.0,synthetic,5000,0.5,64.0
2025-03-31,57237004201,Omeprazole 40mg,chronic,61.0,synthetic,5000,0.5,61.6
2025-04-07,57237004201,Omeprazole 40mg,chronic,61.0,synthetic,5000,0.5,67.7
2025-04-14,57237004201,Omeprazole 40mg,chronic,70.0,synthetic,5000,0.5,64.3
2025-04-21,57237004201,Omeprazole 40mg,chronic,55.0,synthetic,5000,0.5,67.7
2025-04-28,57237004201,Omeprazole 40mg,chronic,63.0,synthetic,5000,0.5,68.2
2025-05-05,57237004201,Omeprazole 40mg,chronic,65.0,synthetic,5000,0.5,65.7
2025-05-12,57237004201,Omeprazole 40mg,chronic,76.0,synthetic,5000,0.5,70.1
2025-05-19,57237004201,Omeprazole 40mg,chronic,57.0,synthetic,5000,0.5,64.4
2025-05-26,57237004201,Omeprazole 40mg,chronic,67.0,synthetic,5000,0.5,68.4
2025-06-02,57237004201,Omeprazole 40mg,chronic,70.0,synthetic,5000,0.5,69.1
2025-06-09,57237004201,Omeprazole 40mg,chronic,69.0,synthetic,5000,0.5,60.8
2025-06-16,57237004201,Omeprazole 40mg,chronic,88.0,synthetic,5000,0.5,72.4
2025-06-23,57237004201,Omeprazole 40mg,chronic,73.0,synthetic,5000,0.5,63.0
2025-06-30,57237004201,Omeprazole 40mg,chronic,73.0,synthetic,5000,0.5,61.6
2025-01-06,57237005101,Losartan 50mg,chronic,86.0,synthetic,5000,0.5,87.6
2025-01-13,57237005101,Losartan 50mg,chronic,105.0,synthetic,5000,0.5,2.6
2025-01-20,57237005101,Losartan 50mg,chronic,65.0,synthetic,5000,0.5,76.3
2025-01-27,57237005101,Losartan 50mg,chronic,62.0,synthetic,5000,0.5,71.1
2025-02-03,57237005101,Losartan 50mg,chronic,91.0,synthetic,5000,0.5,15.0
2025-02-10,57237005101,Losartan 50mg,chronic,78.0,synthetic,5000,0.5,64.5
2025-02-17,57237005101,Losartan 50mg,chronic,99.0,synthetic,5000,0.5,57.8
2025-02-24,57237005101,Losartan 50mg,chronic,65.0,synthetic,5000,0.5,19.2
2025-03-03,57237005101,Losartan 50mg,chronic,70.0,synthetic,5000,0.5,63.5
2025-03-10,57237005101,Losartan 50mg,chronic,99.0,synthetic,5000,0.5,51.6
2025-03-17,57237005101,Losartan 50mg,chronic,76.0,synthetic,5000,0.5,31.1
2025-03-24,57237005101,Losartan 50mg,chronic,80.0,synthetic,5000,0.5,57.6
2025-03-31,57237005101,Losartan 50mg,chronic,88.0,synthetic,5000,0.5,38.2
2025-04-07,57237005101,Losartan 50mg,chronic,72.0,synthetic,5000,0.5,38.0
2025-04-14,57237005101,Losartan 50mg,chronic,91.0,synthetic,5000,0.5,51.5
2025-04-21,57237005101,Losartan 50mg,chronic,76.0,synthetic,5000,0.5,45.8
2025-04-28,57237005101,Losartan 50mg,chronic,86.0,synthetic,5000,0.5,38.9
2025-05-05,57237005101,Losartan 50mg,chronic,65.0,synthetic,5000,0.5,51.1
2025-05-12,57237005101,Losartan 50mg,chronic,94.0,synthetic,5000,0.5,49.9
2025-05-19,57237005101,Losartan 50mg,chronic,66.0,synthetic,5000,0.5,44.3
2025-05-26,57237005101,Losartan 50mg,chronic,74.0,synthetic,5000,0.5,49.7
2025-06-02,57237005101,Losartan 50mg,chronic,72.0,synthetic,5000,0.5,43.4
2025-06-09,57237005101,Losartan 50mg,chronic,72.0,synthetic,5000,0.5,44.8
2025-06-16,57237005101,Losartan 50mg,chronic,83.0,synthetic,5000,0.5,51.1
2025-06-23,57237005101,Losartan 50mg,chronic,95.0,synthetic,5000,0.5,45.2
2025-06-30,57237005101,Losartan 50mg,chronic,106.0,synthetic,5000,0.5,45.4
2025-01-06,57237005201,Losartan 100mg,chronic,53.0,synthetic,5000,0.5,52.0
2025-01-13,57237005201,Losartan 100mg,chronic,67.0,synthetic,5000,0.5,49.4
2025-01-20,57237005201,Losartan 100mg,chronic,50.0,synthetic,5000,0.5,48.8
2025-01-27,57237005201,Losartan 100mg,chronic,58.0,synthetic,5000,0.5,53.7
2025-02-03,57237005201,Losartan 100mg,chronic,55.0,synthetic,5000,0.5,51.7
2025-02-10,57237005201,Losartan 100mg,chronic,52.0,synthetic,5000,0.5,51.3
2025-02-17,57237005201,Losartan 100mg,chronic,45.0,synthetic,5000,0.5,51.5
2025-02-24,57237005201,Losartan 100mg,chronic,46.0,synthetic,5000,0.5,49.3
2025-03-03,57237005201,Losartan 100mg,chronic,40.0,synthetic,5000,0.5,50.7
2025-03-10,57237005201,Losartan 100mg,chronic,48.0,synthetic,5000,0.5,48.9
2025-03-17,57237005201,Losartan 100mg,chronic,51.0,synthetic,5000,0.5,52.9
2025-03-24,57237005201,Losartan 100mg,chronic,47.0,synthetic,5000,0.5,50.7
